date,county,cases,cases_rate,cases_avg_new,cases_avg_new_rate,cases_cume,cases_cume_rate
2021-04-04T00:00:00.000,Butler,30,16,56.9,30.3,15557,8281.5
2021-04-03T00:00:00.000,Butler,31,16.5,57.9,30.8,15527,8265.5
2021-04-02T00:00:00.000,Butler,66,35.1,59.9,31.9,15496,8249
2021-04-01T00:00:00.000,Butler,74,39.4,57.7,30.7,15430,8213.9
2021-03-31T00:00:00.000,Butler,44,23.4,57.6,30.6,15356,8174.5
2021-03-30T00:00:00.000,Butler,79,42.1,56.4,30,15312,8151.1
2021-03-29T00:00:00.000,Butler,74,39.4,55.7,29.7,15233,8109
2021-03-28T00:00:00.000,Butler,37,19.7,54.4,29,15159,8069.6
2021-03-27T00:00:00.000,Butler,45,24,52.6,28,15122,8049.9
2021-03-26T00:00:00.000,Butler,51,27.1,49.7,26.5,15077,8026
2021-03-25T00:00:00.000,Butler,73,38.9,47.3,25.2,15026,7998.8
2021-03-24T00:00:00.000,Butler,36,19.2,43.4,23.1,14953,7959.9
2021-03-23T00:00:00.000,Butler,74,39.4,45.4,24.2,14917,7940.8
2021-03-22T00:00:00.000,Butler,65,34.6,40,21.3,14843,7901.4
2021-03-21T00:00:00.000,Butler,24,12.8,40.4,21.5,14778,7866.8
2021-03-20T00:00:00.000,Butler,25,13.3,38.4,20.5,14754,7854
2021-03-19T00:00:00.000,Butler,34,18.1,39,20.8,14729,7840.7
2021-03-18T00:00:00.000,Butler,46,24.5,43.9,23.3,14695,7822.6
2021-03-17T00:00:00.000,Butler,50,26.6,43.6,23.2,14649,7798.1
2021-03-16T00:00:00.000,Butler,36,19.2,43.7,23.3,14599,7771.5
2021-03-15T00:00:00.000,Butler,68,36.2,45.4,24.2,14563,7752.3
2021-03-14T00:00:00.000,Butler,10,5.3,43.6,23.2,14495,7716.1
2021-03-13T00:00:00.000,Butler,29,15.4,44.7,23.8,14485,7710.8
2021-03-12T00:00:00.000,Butler,68,36.2,44,23.4,14456,7695.4
2021-03-11T00:00:00.000,Butler,44,23.4,37.9,20.2,14388,7659.2
2021-03-10T00:00:00.000,Butler,51,27.1,37.4,19.9,14344,7635.8
2021-03-09T00:00:00.000,Butler,48,25.6,36.7,19.5,14293,7608.6
2021-03-08T00:00:00.000,Butler,55,29.3,34.1,18.2,14245,7583.1
2021-03-07T00:00:00.000,Butler,18,9.6,32.1,17.1,14190,7553.8
2021-03-06T00:00:00.000,Butler,24,12.8,32.9,17.5,14172,7544.2
2021-03-05T00:00:00.000,Butler,25,13.3,32.4,17.3,14148,7531.4
2021-03-04T00:00:00.000,Butler,41,21.8,35.4,18.9,14123,7518.1
2021-03-03T00:00:00.000,Butler,46,24.5,35,18.6,14082,7496.3
2021-03-02T00:00:00.000,Butler,30,16,30.9,16.4,14036,7471.8
2021-03-01T00:00:00.000,Butler,41,21.8,33.9,18,14006,7455.8
2021-02-28T00:00:00.000,Butler,23,12.2,34.1,18.2,13965,7434
2021-02-27T00:00:00.000,Butler,21,11.2,32.4,17.3,13942,7421.8
2021-02-26T00:00:00.000,Butler,46,24.5,34,18.1,13921,7410.6
2021-02-25T00:00:00.000,Butler,38,20.2,32.3,17.2,13875,7386.1
2021-02-24T00:00:00.000,Butler,17,9,33.4,17.8,13837,7365.9
2021-02-23T00:00:00.000,Butler,51,27.1,37.4,19.9,13820,7356.8
2021-02-22T00:00:00.000,Butler,43,22.9,35,18.6,13769,7329.7
2021-02-21T00:00:00.000,Butler,11,5.9,33.9,18,13726,7306.8
2021-02-20T00:00:00.000,Butler,32,17,35.4,18.9,13715,7300.9
2021-02-19T00:00:00.000,Butler,34,18.1,35.6,18.9,13683,7283.9
2021-02-18T00:00:00.000,Butler,46,24.5,36.3,19.3,13649,7265.8
2021-02-17T00:00:00.000,Butler,45,24,33.1,17.6,13603,7241.3
2021-02-16T00:00:00.000,Butler,34,18.1,34.6,18.4,13558,7217.3
2021-02-15T00:00:00.000,Butler,35,18.6,37.4,19.9,13524,7199.2
2021-02-14T00:00:00.000,Butler,22,11.7,41.9,22.3,13489,7180.6
2021-02-13T00:00:00.000,Butler,33,17.6,42.4,22.6,13467,7168.9
2021-02-12T00:00:00.000,Butler,39,20.8,43.1,23,13434,7151.3
2021-02-11T00:00:00.000,Butler,24,12.8,44.6,23.7,13395,7130.6
2021-02-10T00:00:00.000,Butler,55,29.3,49.4,26.3,13371,7117.8
2021-02-09T00:00:00.000,Butler,54,28.7,51,27.1,13316,7088.5
2021-02-08T00:00:00.000,Butler,66,35.1,50.6,26.9,13262,7059.8
2021-02-07T00:00:00.000,Butler,26,13.8,49.9,26.5,13196,7024.6
2021-02-06T00:00:00.000,Butler,38,20.2,53.9,28.7,13170,7010.8
2021-02-05T00:00:00.000,Butler,49,26.1,54.1,28.8,13132,6990.6
2021-02-04T00:00:00.000,Butler,58,30.9,54.6,29.1,13083,6964.5
2021-02-03T00:00:00.000,Butler,66,35.1,58,30.9,13025,6933.6
2021-02-02T00:00:00.000,Butler,51,27.1,59.9,31.9,12959,6898.5
2021-02-01T00:00:00.000,Butler,61,32.5,66.1,35.2,12908,6871.3
2021-01-31T00:00:00.000,Butler,54,28.7,68.1,36.3,12847,6838.9
2021-01-30T00:00:00.000,Butler,40,21.3,69.7,37.1,12793,6810.1
2021-01-29T00:00:00.000,Butler,52,27.7,72.6,38.6,12753,6788.8
2021-01-28T00:00:00.000,Butler,82,43.7,77.7,41.4,12701,6761.1
2021-01-27T00:00:00.000,Butler,79,42.1,75.6,40.2,12619,6717.5
2021-01-26T00:00:00.000,Butler,95,50.6,79.1,42.1,12540,6675.4
2021-01-25T00:00:00.000,Butler,75,39.9,78,41.5,12445,6624.9
2021-01-24T00:00:00.000,Butler,65,34.6,82.1,43.7,12370,6584.9
2021-01-23T00:00:00.000,Butler,60,31.9,81.1,43.2,12305,6550.3
2021-01-22T00:00:00.000,Butler,88,46.8,87.1,46.4,12245,6518.4
2021-01-21T00:00:00.000,Butler,67,35.7,95.1,50.6,12157,6471.5
2021-01-20T00:00:00.000,Butler,104,55.4,101.9,54.2,12090,6435.9
2021-01-19T00:00:00.000,Butler,87,46.3,104,55.4,11986,6380.5
2021-01-18T00:00:00.000,Butler,104,55.4,114.4,60.9,11899,6334.2
2021-01-17T00:00:00.000,Butler,58,30.9,116.3,61.9,11795,6278.8
2021-01-16T00:00:00.000,Butler,102,54.3,119.1,63.4,11737,6248
2021-01-15T00:00:00.000,Butler,144,76.7,120.3,64,11635,6193.7
2021-01-14T00:00:00.000,Butler,114,60.7,126.7,67.5,11491,6117
2021-01-13T00:00:00.000,Butler,119,63.3,141.9,75.5,11377,6056.3
2021-01-12T00:00:00.000,Butler,160,85.2,142.6,75.9,11258,5993
2021-01-11T00:00:00.000,Butler,117,62.3,152.3,81.1,11098,5907.8
2021-01-10T00:00:00.000,Butler,78,41.5,156,83,10981,5845.5
2021-01-09T00:00:00.000,Butler,110,58.6,159.9,85.1,10903,5804
2021-01-08T00:00:00.000,Butler,189,100.6,159.3,84.8,10793,5745.4
2021-01-07T00:00:00.000,Butler,220,117.1,152.7,81.3,10604,5644.8
2021-01-06T00:00:00.000,Butler,124,66,141.4,75.3,10384,5527.7
2021-01-05T00:00:00.000,Butler,228,121.4,149.7,79.7,10260,5461.7
2021-01-04T00:00:00.000,Butler,143,76.1,142.6,75.9,10032,5340.3
2021-01-03T00:00:00.000,Butler,105,55.9,157.6,83.9,9889,5264.2
2021-01-02T00:00:00.000,Butler,106,56.4,148.9,79.2,9784,5208.3
2021-01-01T00:00:00.000,Butler,143,76.1,145.3,77.3,9678,5151.9
2020-12-31T00:00:00.000,Butler,141,75.1,146.7,78.1,9535,5075.8
2020-12-30T00:00:00.000,Butler,182,96.9,140.7,74.9,9394,5000.7
2020-12-29T00:00:00.000,Butler,178,94.8,136.9,72.9,9212,4903.8
2020-12-28T00:00:00.000,Butler,248,132,142.1,75.7,9034,4809.1
2020-12-27T00:00:00.000,Butler,44,23.4,129.6,69,8786,4677.1
2020-12-26T00:00:00.000,Butler,81,43.1,142.7,76,8742,4653.6
2020-12-25T00:00:00.000,Butler,153,81.4,148.7,79.2,8661,4610.5
2020-12-24T00:00:00.000,Butler,99,52.7,157.4,83.8,8508,4529.1
2020-12-23T00:00:00.000,Butler,155,82.5,171.7,91.4,8409,4476.4
2020-12-22T00:00:00.000,Butler,215,114.5,168.4,89.7,8254,4393.9
2020-12-21T00:00:00.000,Butler,160,85.2,167.3,89.1,8039,4279.4
2020-12-20T00:00:00.000,Butler,136,72.4,170.1,90.6,7879,4194.2
2020-12-19T00:00:00.000,Butler,123,65.5,167.9,89.4,7743,4121.8
2020-12-18T00:00:00.000,Butler,214,113.9,175.4,93.4,7620,4056.4
2020-12-17T00:00:00.000,Butler,199,105.9,171,91,7406,3942.4
2020-12-16T00:00:00.000,Butler,132,70.3,180.9,96.3,7207,3836.5
2020-12-15T00:00:00.000,Butler,207,110.2,190.7,101.5,7075,3766.2
2020-12-14T00:00:00.000,Butler,180,95.8,183.3,97.6,6868,3656.1
2020-12-13T00:00:00.000,Butler,120,63.9,170.3,90.6,6688,3560.2
2020-12-12T00:00:00.000,Butler,176,93.7,166.4,88.6,6568,3496.4
2020-12-11T00:00:00.000,Butler,183,97.4,154.6,82.3,6392,3402.7
2020-12-10T00:00:00.000,Butler,268,142.7,155.4,82.7,6209,3305.2
2020-12-09T00:00:00.000,Butler,201,107,142.1,75.7,5941,3162.6
2020-12-08T00:00:00.000,Butler,155,82.5,129.4,68.9,5740,3055.6
2020-12-07T00:00:00.000,Butler,89,47.4,121.6,64.7,5585,2973.1
2020-12-06T00:00:00.000,Butler,93,49.5,131.9,70.2,5496,2925.7
2020-12-05T00:00:00.000,Butler,93,49.5,125.7,66.9,5403,2876.2
2020-12-04T00:00:00.000,Butler,189,100.6,130.1,69.3,5310,2826.7
2020-12-03T00:00:00.000,Butler,175,93.2,120.9,64.3,5121,2726.1
2020-12-02T00:00:00.000,Butler,112,59.6,108.7,57.9,4946,2632.9
2020-12-01T00:00:00.000,Butler,100,53.2,109.6,58.3,4834,2573.3
2020-11-30T00:00:00.000,Butler,161,85.7,125.3,66.7,4734,2520.1
2020-11-29T00:00:00.000,Butler,50,26.6,123.1,65.6,4573,2434.4
2020-11-28T00:00:00.000,Butler,124,66,122.6,65.2,4523,2407.7
2020-11-27T00:00:00.000,Butler,124,66,118.4,63,4399,2341.7
2020-11-26T00:00:00.000,Butler,90,47.9,116.6,62.1,4275,2275.7
2020-11-25T00:00:00.000,Butler,118,62.8,119.4,63.6,4185,2227.8
2020-11-24T00:00:00.000,Butler,210,111.8,115.9,61.7,4067,2165
2020-11-23T00:00:00.000,Butler,146,77.7,101.7,54.1,3857,2053.2
2020-11-22T00:00:00.000,Butler,46,24.5,98.9,52.6,3711,1975.5
2020-11-21T00:00:00.000,Butler,95,50.6,103.9,55.3,3665,1951
2020-11-20T00:00:00.000,Butler,111,59.1,99.6,53,3570,1900.4
2020-11-19T00:00:00.000,Butler,110,58.6,99.3,52.9,3459,1841.3
2020-11-18T00:00:00.000,Butler,93,49.5,93.3,49.7,3349,1782.8
2020-11-17T00:00:00.000,Butler,111,59.1,93.9,50,3256,1733.3
2020-11-16T00:00:00.000,Butler,126,67.1,90.9,48.4,3145,1674.2
2020-11-15T00:00:00.000,Butler,81,43.1,87.4,46.5,3019,1607.1
2020-11-14T00:00:00.000,Butler,65,34.6,85.4,45.5,2938,1564
2020-11-13T00:00:00.000,Butler,109,58,87.4,46.5,2873,1529.4
2020-11-12T00:00:00.000,Butler,68,36.2,90,47.9,2764,1471.4
2020-11-11T00:00:00.000,Butler,97,51.6,89.7,47.8,2696,1435.2
2020-11-10T00:00:00.000,Butler,90,47.9,78.4,41.7,2599,1383.5
2020-11-09T00:00:00.000,Butler,102,54.3,69,36.7,2509,1335.6
2020-11-08T00:00:00.000,Butler,67,35.7,58.6,31.2,2407,1281.3
2020-11-07T00:00:00.000,Butler,79,42.1,59.7,31.8,2340,1245.7
2020-11-06T00:00:00.000,Butler,127,67.6,55.6,29.6,2261,1203.6
2020-11-05T00:00:00.000,Butler,66,35.1,43.1,23,2134,1136
2020-11-04T00:00:00.000,Butler,18,9.6,41.1,21.9,2068,1100.9
